1	"今日来た女性、カウンセリングに5年通ってると言ってた。
話してる間ずっと、肩が耳の下まで上がってた。
本人は気づいてもいない。
つらい記憶を言葉にする練習は、5年でかなり上手くなってた。
でも肩を吊り上げてる筋肉は、5年間だれも触ってなかった。
言葉が届く場所と、力が抜けない場所は、住所が違う。
肩に触れて「ここ何年も動いてないですね」と言ったら黙り込んだ。
何かから身を守るために上げた肩は、守る相手が消えても下ろし方を忘れる。
原因の出来事まで遡れれば、その肩は下りる。
私はその遡る作業を毎日やってる。
体に残った緊張は、場所さえ特定すれば外せる。
心は軽くなったのに体だけ重い人、DMで聞いてみて。"	2026/06/14	17	14
2	"今日も「家のことは特に問題なかったです」と言われた。
で、触ったら体が全部しゃべりだす。
怒鳴られて育った人の体には、見ればわかる癖がある。
①顎の付け根が石みたいに固い（声を飲み込んできた）
②吸えるのに吐ききれない（息を殺してきた）
③耳の後ろが張ってる（足音を聞き分けてきた）
④上目づかいの方向だけ目が動きにくい（顔色を読んできた）
⑤肩に触れた瞬間ビクッとする
どれも、その家で生き延びるのに要った機能だ。
賢い子ほど早く身につけて、深く固める。
そして家を出て20年経っても、誰も解除してくれない。
③をゆるめた人がよく言う。
「世界ってこんなに静かなんですね」
ずっと警報の音量を上げたまま暮らしてたんだ。
あの頃のあなたには必要だった。
今のあなたには私がいる。
この癖は外せる。
こういう話が好きな方フォロー保存お願いいたします。"	2026/06/14	17	40
3	"何年も猫背を直そうとしてる人へ。
矯正してもストレッチしても3日で戻るやつ。
あれを姿勢として直そうとしても一生戻る。
人は怖い相手の前で、肩を内に入れて背中を丸める。
心臓と腹を隠す、いちばん原始的な守り方だ。
怒鳴り声の絶えない家で育つと、この守りが立ち方の初期設定になる。
背中だけ伸ばせと言われても体は従わない。
まだ部屋のどこかに怒鳴る人がいる前提で立ってるからだ。
頭はとっくにその家を出てるのに、立ち方だけ居残る。
順番がある。
先にみぞおちの奥をゆるめて、もう守らなくていいと体に分からせる。
すると背中は、こっちが何も言わなくても勝手に起きてくる。
姿勢を一度も注意せずに姿勢が変わるのを、ウチでは毎日見てる。
意志の弱さで片付けてきた人ほど、変わったとき絶句する。
攻め方さえ合えば取れる。
納得いかない人はDMで聞いてみて。"	2026/06/14	18	6
4	"順調になると自分で壊したくなる人、責任を感じなくていい。
恋愛が安定した瞬間に冷める。
仕事を評価された次の日に体調を崩す。
旅行の最終日、理由もなく涙が出る。
これ、心が天邪鬼なわけじゃなくて、体が「平和」という状態を一度も経験してないからなんだ。
ピリピリした家で育つと、緊張してるのが体の通常運転になる。
だから静かで穏やかな状況に入ると、体は安心せずに警戒する。
こんな静けさは知らない、何か来るぞ、と身構える。
で、なんとなく不安が湧いて、頭が後付けで理由を探して、目の前の幸せを犯人に仕立てる。
壊したいわけじゃない。
知ってる緊張に帰りたいだけ。
体は何歳からでも、穏やかさを通常運転にし直せる。
その入れ替えを一人でやらなくていい。
ウチで一緒にやれる。
こういう話が好きな方フォロー保存お願いいたします。"	2026/06/14	18	32
5	"理由もなく落ち込む日がある人。
自分を責める前に、これを知っといて。
フラッシュバックは、映像が蘇るやつだけだと思われてる。
実際は3種類ある。
①映像が浮かぶ
②理由なく絶望や恐怖だけが襲ってくる
③吐き気や動悸や喉の詰まりだけが突然出る
②と③には映像がついてこない。
だから本人は、前ぶれなく気分と体が崩れたように感じて、情緒不安定な自分・すぐ体調を崩す自分を責める方向にいく。
でも体は気まぐれで暴れたりしない。
昔きつかった場面とそっくりな何か——匂い、声のトーン、その日の気温——を引き金にして、当時の反応だけを再生してる。
検査で異常なしの動悸や吐き気が、決まった場面で出る人。
その直前に何があったか、何回かメモしてみて。
引き金さえ見えれば、そこから外していける。
引き金ごと処理するのを、ウチではトラウマ除去と呼んでる。
深掘りしたい人はDMで「予約」と送ってください。"	2026/06/14	18	58
6	"休みの日、起き上がれない日がある人へ。
それはサボりじゃなく、体が安全装置を作動させてる。
動物は、敵に勝てないと悟った瞬間に暴れるのをやめて固まる。
死んだふりだ。
逃げ場のない環境に長くいた人は、この固まるスイッチが入りやすくなる。
きついのは、固まってる間も体力は減ること。
アクセル全開のままブレーキを踏みっぱなしにしてるから、何もしてないのにガス欠になる。
寝ても寝ても疲れが抜けない正体はこれだ。
この状態で気合いを入れても無駄だ。
動かんもんは動かん。
戻すなら端から始める。
布団の中で指をグーパー。
足首をゆっくり回す。
聞こえる音を、遠いものから3つ数える。
小さく動けた感覚が、もう固まらなくていいと体に伝えていく。
スイッチが入りやすくなった大元は、原因を辿れば落ち着かせられる。
そこから先はウチの仕事だ。
保存して、動けない日に開いて。"	2026/06/14	19	24
7	"施術中に泣き出す人が、月に何人かいる。
痛いからでも悲しいからでもない。
本人がいちばん戸惑ってる。
私も修行中にやった。
先生に肋骨の下の縁を押さえられた瞬間、涙が勝手に流れて止まらない。
悲しい記憶を思い出したわけでもないのに、目だけ別の生き物みたいに泣いてた。
人は泣くのをこらえるとき、喉と横隔膜にギュッと力を入れて蓋をする。
これを何十年も続けた人は、蓋の筋肉がカチカチに固まる。
施術でその筋肉がゆるんだとき、蓋の下で順番待ちしてた分が一気に出てくる。
押さえ込んだものは消えてなくならない。
押さえてた筋肉の中でじっと残って、外れた日に何十年ぶりに出てくる。
泣いたあと、ほぼ全員の呼吸が深くなって顔色が変わる。
我慢が上手い人ほど横隔膜が固い。
体は嘘がつけない。
溜め込んだ分は下ろせる。
それは私の仕事だ。
こういう話が好きな方フォロー保存お願いいたします。"	2026/06/14	19	50
8	"私の実家の話をする。
父の機嫌で、その日の家の天気が決まる家だった。
玄関のドアの閉まる音で、今日が荒れるか凪ぐか分かる。
私は足音と声の大きさを聞き分けて、危ないと思ったら自分の部屋に消える子供だった。
家を出て、就職して、もう関係ないと思ってた。
でも30歳すぎて、スマホに着信が出ただけでみぞおちが固くなる自分に気づいた。
上司が小さくため息をつくと、指が止まる。
頭はとっくに大人なのに、体だけ、まだあの玄関で耳を澄ましてた。
変わったのは、施術で体の構えを下ろしてもらってからだ。
着信を見ても胃が動かない朝が来て、こんなことで泣くかと思うくらい泣いた。
家を出ても抜けない反応がある人。
あれは気の持ちようでも、思い出が消えてないからでもない。
体に染み込んだ構えが、まだ仕事をしてるだけだ。
構えなら下ろせる。
自分が下ろしてもらった側だから、はっきり言える。
今度は私が下ろす番だ。
同じような家で育った方、いますか。
リプでもDMでも聞かせてください。"	2026/06/14	20	16
9	"機能不全家庭で育った人の、体のあるある。
①親からの通知が来ると、開く前から胃が固まる
②怒られてもないのに、気づいたら謝ってる
③人と会うのは好きなのに、玄関に入った瞬間どっと疲れる
④泣きそうになると喉が締まって声が出ない
⑤実家が近づくほど肩が上がっていく
⑥褒められると、嬉しさより先に身構える
心の弱さみたいに語られがちだけど、私から見たら全部、体の反応だ。
胃も喉も肩も、あの家で配属された持ち場を今も守ってる。
特に③。
楽しい飲み会でも、体は周りの空気を読む作業をやめてない。
笑いながら、ずっと残業してる。
帰ってからのあの疲れは、誰にも気づかれない残業代だ。
あなたの体は、もうその場にいない人の機嫌を、今日もまだ読んでる。
よく今日まで持ち場を守った。
そろそろ配置換えしていい。
その手続きは、ウチで毎日やってる。
